date;code;n_events;tone_sum;tone_cnt;n_14;n_17;n_18;n_19;n_20
2023-03-03;NI;3025;-2173.6337770195028;3025;18.0;104.0;33.0;141.0;0.0
2023-03-03;PK;1620;-3571.397033526574;1620;30.0;111.0;21.0;110.0;0.0
2023-03-03;RS;6991;-22880.33097552523;6991;45.0;278.0;132.0;597.0;3.0
2023-03-03;TW;492;-667.1554936331619;492;0.0;12.0;2.0;20.0;0.0
2023-03-03;UP;6218;-18201.36524551075;6218;17.0;149.0;75.0;504.0;1.0
2023-03-03;US;41282;-96279.67513989728;41282;327.0;2676.0;636.0;2705.0;3.0
2023-03-04;GM;1244;-1535.8500354200596;1244;10.0;38.0;11.0;50.0;0.0
2023-03-04;IS;2015;-10829.883258978738;2015;68.0;82.0;46.0;278.0;3.0
2023-03-04;NI;2642;-1820.290655371159;2642;29.0;83.0;25.0;88.0;0.0
2023-03-04;PK;1454;-3930.99582501056;1454;25.0;93.0;25.0;120.0;0.0
2023-03-04;RS;4056;-13099.148932852757;4056;41.0;136.0;67.0;421.0;3.0
2023-03-04;TW;276;-199.40838718867113;276;7.0;8.0;0.0;3.0;0.0
2023-03-04;UP;3818;-10011.467296588717;3818;35.0;60.0;40.0;378.0;0.0
2023-03-04;US;25128;-57448.98247591961;25128;233.0;1609.0;376.0;1669.0;5.0
2023-03-05;GM;766;-1406.674990744977;766;9.0;36.0;1.0;22.0;0.0
2023-03-05;IS;2693;-11364.164444922426;2693;97.0;117.0;54.0;293.0;4.0
2023-03-05;NI;2726;-1963.1814367936363;2726;12.0;97.0;23.0;207.0;0.0
2023-03-05;PK;1642;-4751.416106438468;1642;31.0;171.0;29.0;109.0;0.0
2023-03-05;RS;3140;-11160.779908260392;3140;34.0;90.0;47.0;384.0;2.0
2023-03-05;TW;287;-130.00553546696105;287;13.0;8.0;0.0;10.0;0.0
2023-03-05;UP;3139;-9564.570480587055;3139;37.0;64.0;55.0;373.0;5.0
2023-03-05;US;18682;-35455.11474577819;18682;165.0;978.0;240.0;1219.0;0.0
2023-03-06;GM;1666;-1616.94294498175;1666;25.0;64.0;14.0;84.0;0.0
2023-03-06;IS;3355;-11792.92256213633;3355;106.0;136.0;89.0;344.0;4.0
2023-03-06;NI;3450;-4227.050517001511;3450;56.0;127.0;43.0;245.0;0.0
2023-03-06;PK;2459;-10225.111970830429;2459;24.0;131.0;108.0;228.0;0.0
2023-03-06;RS;5476;-20045.270677406326;5476;43.0;212.0;113.0;744.0;1.0
2023-03-06;TW;841;-938.3829206416144;841;15.0;18.0;2.0;32.0;0.0
2023-03-06;UP;4948;-16412.534168156286;4948;36.0;128.0;96.0;657.0;1.0
2023-03-06;US;32496;-62819.7381671359;32496;302.0;1736.0;483.0;2145.0;3.0
2023-03-07;GM;1574;-2094.348242514487;1574;6.0;69.0;15.0;78.0;0.0
2023-03-07;IS;3648;-14509.569462395091;3648;88.0;145.0;64.0;603.0;5.0
2023-03-07;NI;3159;-3352.7404687935873;3159;28.0;140.0;42.0;200.0;2.0
2023-03-07;PK;1957;-5679.232104206805;1957;53.0;136.0;42.0;104.0;0.0
2023-03-07;RS;5709;-21102.92315431535;5709;53.0;228.0;141.0;577.0;5.0
2023-03-07;TW;886;-1746.5891728826327;886;3.0;4.0;6.0;24.0;0.0
2023-03-07;UP;5459;-18107.492660343505;5459;36.0;135.0;127.0;578.0;4.0
2023-03-07;US;40881;-88110.55192863403;40881;345.0;2423.0;796.0;2646.0;6.0
2023-03-08;GM;1962;-3507.0141541106564;1962;29.0;65.0;15.0;68.0;0.0
2023-03-08;IS;3781;-17439.48470973636;3781;101.0;183.0;89.0;647.0;11.0
2023-03-08;NI;3674;-300.0315756796211;3674;37.0;121.0;48.0;158.0;0.0
2023-03-08;PK;2061;-6396.973845789905;2061;74.0;141.0;47.0;189.0;0.0
2023-03-08;RS;5322;-16707.937012485272;5322;53.0;156.0;75.0;494.0;3.0
2023-03-08;TW;723;-1654.1927542329922;723;0.0;4.0;2.0;27.0;0.0
2023-03-08;UP;5123;-14423.923452251873;5123;22.0;110.0;91.0;565.0;4.0
2023-03-08;US;42889;-90640.95549403915;42889;372.0;2533.0;844.0;2609.0;1.0
2023-03-09;GM;1625;-2864.3870275606523;1625;9.0;45.0;17.0;83.0;0.0
2023-03-09;IS;4919;-21889.90951214324;4919;235.0;185.0;60.0;760.0;11.0
2023-03-09;NI;3433;-6170.700227278704;3433;23.0;150.0;103.0;208.0;0.0
2023-03-09;PK;2377;-7054.771095177064;2377;48.0;187.0;60.0;231.0;0.0
2023-03-09;RS;5545;-19476.973244021257;5545;70.0;167.0;104.0;908.0;5.0
2023-03-09;TW;615;-764.9628079416763;615;3.0;7.0;2.0;18.0;0.0
2023-03-09;UP;5693;-19135.408338109228;5693;45.0;118.0;102.0;1137.0;6.0
2023-03-09;US;41844;-84366.93714088848;41844;396.0;2539.0;662.0;2326.0;8.0
2023-03-10;GM;2134;-5689.453357076979;2134;13.0;61.0;35.0;303.0;0.0
2023-03-10;IS;3807;-15584.524606681573;3807;102.0;131.0;61.0;611.0;7.0
2023-03-10;NI;3441;-7456.592460698412;3441;23.0;180.0;53.0;94.0;0.0
2023-03-10;PK;1972;-5630.305855197633;1972;35.0;125.0;55.0;160.0;0.0
2023-03-10;RS;5501;-17666.921002061845;5501;59.0;199.0;103.0;654.0;3.0
2023-03-10;TW;601;-887.1980453580281;601;0.0;2.0;0.0;7.0;0.0
2023-03-10;UP;4764;-13386.22895523378;4764;28.0;109.0;99.0;695.0;0.0
2023-03-10;US;41984;-93533.9141746854;41984;313.0;2844.0;696.0;2599.0;2.0
2023-03-11;GM;1037;-2352.424271866822;1037;16.0;41.0;10.0;98.0;0.0
2023-03-11;IS;1961;-5971.82288330692;1961;90.0;68.0;39.0;175.0;1.0
